#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"name","portname","drivername","location"
"Cartazista Rio Benfica","10.63.9.36","HP Color MFP E77822-25-30 PCL 6 (V3)","Sala Merchandising - T?rreo"
"Cofre Rio Benfica","10.63.9.47","HP Laser 408 PCL6","Sala do Cofre - T?rreo"
"Drive Rio Benfica","10.63.9.44","HP LaserJet MFP E42540 PCL 6 (V3)","T?rreo - PDVs do Drive"
"Gerencia Rio Benfica","10.63.9.37_1","HP Color MFP E77822-25-30 PCL 6 (V3)","Sala Gerencia - Terreo"
"Logistica Rio Benfica","10.63.9.41","HP LaserJet MFP E52645 PCL 6 (V3)","Sala Logistica - Terreo - Fundos"
"MARCENARIA","10.63.9.46_1","Samsung C268x Series",""
"MeetPoint Rio Benfica","10.63.9.41_1","HP LaserJet MFP E42540 PCL 6 (V3)","Marcenaria Rio Benfica"
"Nota Fiscal Rio Benfica","10.63.9.40","HP LaserJet MFP E42540 PCL 6 (V3)","Sala Nota Fiscal - T?rreo"
"NPIFD7BF0 (HP Color LaserJet Flow E77830)","WSD-45f96b87-d22a-4244-8e4d-46343b659870","HP Color MFP E77822-25-30 PCL 6 (V3)","http://10.63.9.36:3910/"
"Recebimento Rio Benfica","10.63.9.42","HP LaserJet MFP E42540 PCL 6 (V3)","Loja Rio Benfica - T?rreo - Fundos"
"Retira Ceramica - Rio Benfica","10.63.9.43","HP LaserJet MFP E42540 PCL 6 (V3)","Sala Retira - T?rreo"
"RH Rio Benfica","10.63.9.38_1","HP LaserJet MFP E52645 PCL 6 (V3)","Sala RH / ADM - T?rreo"
"Tintas Rio Benfica","10.63.9.45_1","HP Laser 408 PCL6","Balc?o Tintom?trico - T?rreo"
"Trocas - Rio Benfica","10.63.9.39","HP LaserJet MFP E42540 PCL 6 (V3)","Balc?o Trocas - T?rreo"
